위도,경도,기관명
35.81758446,128.5327472,상이비인후과의원
35.81323018,128.5449679,상인내과의원
35.81850138,128.5373349,상인마디재활의학과의원
35.80861844,128.5521729,상인백세의원
35.8195135,128.5387583,상인속편한내과의원
35.819324,128.5307226,상인신정형외과의원
35.8177804,128.539322,상인연합정형외과의원
35.81910639,128.5370845,상인제이스성형외과의원
35.82115374,128.5286764,상쾌한이비인후과의원
35.81545362,128.5295127,샘편한내과의원
35.85394679,128.5461771,서남경대비뇨의학과의원
35.85345697,128.5448784,서남내과의원
35.85448216,128.5473654,서남안과의원
35.85345697,128.5448784,서남정형외과의원
35.85383073,128.5459327,서대구내과의원
35.81502563,128.5284586,서대구제통마취과의원
35.84019229,128.544245,서대규제니스의원
35.8370371,128.5561448,서부신세계영상의학과의원
35.83791698,128.5568815,서부연합외과의원
35.85712201,128.5213204,서석주 비뇨기과의원
35.850369,128.536089,서울안과의원
35.85055599,128.5365995,서울척척의원
35.82364538,128.5458914,서정형외과의원
35.81391552,128.5246888,선비뇨기과의원
35.81222903,128.5451159,선우신경외과의원
35.85048245,128.5719929,성당연합정형외과의원
35.82438159,128.5243262,성모에이스정형외과의원
35.81812857,128.5360487,성모여성의원
35.8548693,128.5086489,성서마디정형외과의원
35.8549399,128.5046876,성서산부인과의원
35.85508885,128.5078329,성서속내과의원
35.85509985,128.5052311,성서씨엘의원
35.85512544,128.5055745,성서연합외과의원
35.85512544,128.5055745,성서정신과의원
35.85038003,128.5150764,성서정형외과의원
35.85515612,128.5047111,성서제일신경외과의원
35.85496251,128.509991,성서제일안과의원
35.83683839,128.5523357,세강안과의원
35.83156785,128.5298746,세영의원
35.8574945,128.512277,소망가정의학과의원
35.84333082,128.5358201,속보는연합의원
35.81392961,128.5214576,속시원곽앤이내과의원
35.83421382,128.5307667,속시원이재성내과의원
35.81666535,128.5224494,속튼튼내과의원
35.85378067,128.4995541,속편안연합의원
35.81728008,128.5322804,속플러스내과의원
35.80717774,128.5359638,손이비인후과의원
35.85350143,128.5450115,손창헌산부인과의원
35.850369,128.536089,송마음정신건강의학과의원
35.82432872,128.5422882,송현내과의원
35.83547125,128.5556136,송현정형외과의원
35.81910639,128.5370845,수연합내과의원
35.85450681,128.5498567,수외과의원
35.81391552,128.5246888,수이비인후과의원
35.85378067,128.4995541,수제통의원
35.850369,128.536089,숨튼이비인후과의원
35.82255595,128.5476104,숨편한내과의원
35.84541093,128.5442586,스마일 마취통증의학과의원
35.85425935,128.5100197,스마트의원
35.82551999,128.5298564,스마트정형외과의원
35.84811532,128.5280476,시원이비인후과의원
35.85215632,128.5434966,시티비뇨기과의원
35.85389318,128.5480478,시티이비인후과의원
35.85404428,128.5485138,신대구정신건강의학과의원
35.85502574,128.5120729,신상근이비인후과의원
35.85683239,128.5556855,신세계영상의학과의원
35.85509985,128.5052311,신세계이비인후과의원
35.8431634,128.5392376,신세계재활의학과의원
35.83016759,128.5505848,신세계정형외과의원
35.85632886,128.5213152,신왕식내과의원
35.82438159,128.5243262,신월성정신건강의학과의원
35.81266296,128.5448312,신태현이비인후과의원
35.81850138,128.5373349,심안과의원
35.85158476,128.5052088,아세아정형외과의원
35.85125915,128.5076091,안도환비뇨기과의원
35.85848879,128.5302756,안주선이비인후과의원
